"","FID","GEOID","ALAND"
"504",0,"060552012003",1984790
"505",0,"060552011022",53664659
"506",0,"060552014011",66625558
"507",0,"060552017006",10034022
"508",0,"060552019002",35374507
"509",0,"060552002013",373800
"510",0,"060552002022",202539
"511",0,"060450113002",159022708
"512",0,"060552016021",1965369
"513",0,"060552016011",2413903
"514",0,"060371951001",369507
"515",0,"060371951002",410043
"516",0,"060371956004",138802
"517",0,"060371957101",187006
"518",0,"060371957102",108213
"519",0,"060371957202",116087
"520",0,"060371958022",175305
"521",0,"061110044003",288738
"522",0,"060133020062",3075704
"523",0,"060310014022",993831
"524",0,"060310014011",2176223
"525",0,"060372014012",935773
"526",0,"060372014021",1209891
"527",0,"060372014022",305974
"528",0,"060133020052",662669
"529",0,"060450108022",41333971
"530",0,"060450103001",20647457
"531",0,"060450106001",447417733
"532",0,"060450107002",16572889
"533",0,"060450117002",13632139
"534",0,"060450111022",87437727
"535",0,"060450111023",52926574
"536",0,"060450112003",29084449
"537",0,"060450102004",448563662
"538",0,"060450106002",26064411
"539",0,"060450109002",6087993
"540",0,"060450116002",434310
"541",0,"060450109004",3787147
"542",0,"060450102005",13899847
"543",0,"060450109003",8922195
"544",0,"060450109001",327002318
"545",0,"060450108013",23759568
"546",0,"060450101001",1956876070
"547",0,"060450113001",5189672
"548",0,"060450117005",13887873
"549",0,"061110068002",1027784
"550",0,"061110068003",508853
"551",0,"061110069001",1579007
"552",0,"061110069002",1212523
"553",0,"060450117001",142270357
"554",0,"060450117003",2601868
"555",0,"060450104004",1162234
"556",0,"060450102001",494153374
"557",0,"060450112001",422710476
"558",0,"060450108012",11405117
"559",0,"060450106004",240353759
"560",0,"060450108011",136328248
"561",0,"060450105003",1174674
"562",0,"060450102002",536055807
"563",0,"060450103003",12011621
"564",0,"060450104002",1827704
"565",0,"060375710004",191575
"566",0,"060450105001",455378
"567",0,"061110070001",492136
"568",0,"061110071001",837396
"569",0,"061110071002",1133045
"570",0,"060650490003",4030234
"571",0,"060110002003",2811975
"572",0,"060110002001",457209
"573",0,"060375545211",1850374
"574",0,"060375545212",1364206
"575",0,"060375545221",733407
"576",0,"060375545222",767951
"577",0,"060375546001",479381
"578",0,"060375546002",577203
"579",0,"060375547001",245511
"580",0,"060375547002",357219
"581",0,"060371349042",428499
"582",0,"060371951003",327477
"583",0,"060375702025",371764
"584",0,"060375702031",567557
"585",0,"060375702032",734103
"586",0,"060375710001",512982
"587",0,"060375710002",291717
"588",0,"060375710003",250305
"589",0,"060375710005",218379
"590",0,"060375710006",286023
"591",0,"060375711023",317473
"592",0,"060375711012",202717
"593",0,"060375711013",306075
"594",0,"060375711022",251239
"595",0,"060375711024",301262
"596",0,"060375711025",180669
"597",0,"060375712001",405959
"598",0,"060371972003",207251
"599",0,"060371951004",459275
"600",0,"060371972002",194994
"601",0,"060372014023",425367
"602",0,"060375749014",355726
"603",0,"060372015011",206897
"604",0,"060310010012",5967471
"605",0,"060371436021",264780
"606",0,"060371436022",644017
"607",0,"060371436023",236760
"608",0,"060371437001",2542380
"609",0,"060371438001",260728
"610",0,"060375712003",415107
"611",0,"060375712004",256927
"612",0,"060375712006",424537
"613",0,"060375748002",333669
"614",0,"060375748003",284511
"615",0,"060375749013",300738
"616",0,"060375749021",274168
"617",0,"060375749022",283365
"618",0,"060375751021",162390
"619",0,"060375750012",576229
"620",0,"060375750022",263302
"621",0,"060375751011",178205
"622",0,"060375501004",240939
"623",0,"060375501001",169026
"624",0,"060375501002",227383
"625",0,"060375501003",187781
"626",0,"060375501005",273872
"627",0,"060372063001",434789
"628",0,"060375501006",549944
"629",0,"060372015013",446906
"630",0,"060372015031",240631
"631",0,"060372015041",368342
"632",0,"060371438003",1027560
"633",0,"060552017002",4852976
"634",0,"060552020001",1582640
"635",0,"060552020002",1226480
"636",0,"060310007011",1344961
"637",0,"060552020003",1414397
"638",0,"060552020004",2449338
"639",0,"060552005011",635805
"640",0,"060375531004",683057
"641",0,"060375532001",259222
"642",0,"060450107001",3011758
"643",0,"060450107003",554268
"644",0,"060450107005",1317615
"645",0,"060450107006",1083973
"646",0,"060450107007",3358325
"647",0,"060450105002",361612
"648",0,"060375542011",268020
"649",0,"060375542013",404475
"650",0,"060110002004",2135215
"651",0,"060133050004",853454
"652",0,"060670074061",685293
"653",0,"060670074063",2903270
"654",0,"060371810005",805059
"655",0,"060371433002",293059
"656",0,"060371433004",416835
"657",0,"060371433001",308811
"658",0,"060110003002",1470252
"659",0,"060375548022",513989
"660",0,"060375548023",334165
"661",0,"060375549002",252136
"662",0,"060375549004",497981
"663",0,"060375550012",163621
"664",0,"060375550022",552419
"665",0,"060375551021",669682
"666",0,"060375551022",812703
"667",0,"060375551031",462359
"668",0,"060133032052",10244289
"669",0,"060670074064",354715
"670",0,"060670074131",609649
"671",0,"060371953002",166113
"672",0,"060371954001",259021
"673",0,"060371973002",129590
"674",0,"060371973003",246588
"675",0,"060371974101",724940
"676",0,"060371974102",439030
"677",0,"060371974201",336175
"678",0,"060371974202",279404
"679",0,"060371434001",629351
"680",0,"060371434002",547964
"681",0,"060375551032",494929
"682",0,"060375551041",483843
"683",0,"060375551042",363642
"684",0,"060375702041",271541
"685",0,"060371975001",229040
"686",0,"060371975002",138215
"687",0,"060371975003",214407
"688",0,"060372017002",473431
"689",0,"060372031001",157989
"690",0,"060372060501",1643426
"691",0,"060372062001",101634
"692",0,"060372062002",477094
"693",0,"060450115001",1922406
"694",0,"060552005013",661220
"695",0,"060375537013",112479
"696",0,"060375537021",477246
"697",0,"060375537022",355548
"698",0,"060375538011",497674
"699",0,"060375538012",616317
"700",0,"061010506032",3402783
"701",0,"061010505034",727144
"702",0,"060552018001",624647534
"703",0,"060450112002",198914703
"704",0,"060450113003",99160911
"705",0,"060450114001",341940
"706",0,"060450114003",7286745
"707",0,"060450114004",262279
"708",0,"060450114005",353831
"709",0,"060375700023",303261
"710",0,"060450115002",756853
"711",0,"060450115003",840439
"712",0,"060450115004",183554
"713",0,"060450115005",1535622
"714",0,"060133671001",563125
"715",0,"060133020051",1712079
"716",0,"060375552021",543048
"717",0,"060375552111",378796
"718",0,"060375552112",105154
"719",0,"060375552121",680323
"720",0,"060375700011",571419
"721",0,"060375700013",490900
"722",0,"060375700021",283643
"723",0,"060375702042",276551
"724",0,"060375703032",397186
"725",0,"060375703011",396182
"726",0,"060375703013",248547
"727",0,"060375703031",203287
"728",0,"060375703042",247855
"729",0,"060375712007",478105
"730",0,"060375714003",1016275
"731",0,"060375436042",1832241
"732",0,"060375437011",227830
"733",0,"060375437022",392744
"734",0,"060375437023",185643
"735",0,"060375713001",486185
"736",0,"060375713002",878133
"737",0,"060375713003",509636
"738",0,"060375713004",179647
"739",0,"060375714001",308845
"740",0,"060450117004",4117638
"741",0,"060552005042",987281
"742",0,"060552005032",900770
"743",0,"060375532003",144366
"744",0,"060375532004",173964
"745",0,"060375532005",454913
"746",0,"060375532006",313241
"747",0,"060375533001",235264
"748",0,"060375533003",264427
"749",0,"060375534001",290932
"750",0,"060552006012",429506
"751",0,"060552006013",602552
"752",0,"060450116003",1960788
"753",0,"060450116004",569141
"754",0,"060450118002",28562959
"755",0,"060375715021",380874
"756",0,"060450103004",15822451
"757",0,"060450106003",26721795
"758",0,"060450108021",269728070
"759",0,"060450116001",860176
"760",0,"060450114002",2498389
"761",0,"060375714004",343943
"762",0,"060375714005",263046
"763",0,"060375717011",716304
"764",0,"060375715023",370635
"765",0,"060375715024",256186
"766",0,"060375716001",288944
"767",0,"060375717012",328158
"768",0,"060372220011",233352
"769",0,"060375717013",659917
"770",0,"060816073003",361933
"771",0,"060750122012",30528
"772",0,"060750124012",45978
"773",0,"060750124023",62826
"774",0,"060750126021",248192
"775",0,"060750129011",90524
"776",0,"060750131011",88619
"777",0,"060750158021",77695
"778",0,"060377026002",263883
"779",0,"060750168013",90770
"780",0,"060750168023",49276
"781",0,"060750171023",118751
"782",0,"060750204013",127434
"783",0,"060377030021",413641
"784",0,"060377030023",898013
"785",0,"060377024003",211121
"786",0,"060377032001",324429
"787",0,"060377032002",319856
"788",0,"060377032003",234981
"789",0,"060377032004",343310
"790",0,"060377032006",369172
"791",0,"060377024004",626547
"792",0,"060375319011",178571
"793",0,"060374301011",459267
"794",0,"060374301012",474380
"795",0,"060374301014",731651
"796",0,"060374301021",700925
"797",0,"060374301022",261697
"798",0,"060374301023",331573
"799",0,"060372198001",106420
"800",0,"060372217101",195178
"801",0,"060650432461",8191333
"802",0,"060133660021",194803
"803",0,"060377022011",459729
"804",0,"060377022015",145964
"805",0,"060650432291",676957
"806",0,"060650432293",1430314
"807",0,"060650432392",29121435
"808",0,"060650432442",2699017
"809",0,"060650432471",29903387
"810",0,"060650435172",33273864
"811",0,"060650432472",9909733
"812",0,"060650432911",2098161
"813",0,"060650432912",1546300
"814",0,"060650433171",854166
"815",0,"060650435131",2610352
"816",0,"060650438111",23052449
"817",0,"060650438121",47425704
"818",0,"060650438122",3480520
"819",0,"060650438131",86977632
"820",0,"060650438231",13820737
"821",0,"060650438232",23860145
"822",0,"060650444051",2711739
"823",0,"060650444052",323396924
"824",0,"060650445171",7915178
"825",0,"060650445181",15367448
"826",0,"060650445202",111617183
"827",0,"060590639083",316364
"828",0,"060590748023",366365
"829",0,"060790115032",7739687
"830",0,"060790118004",612200
"831",0,"060374303022",558961
"832",0,"060374303023",302824
"833",0,"060374304001",2232245
"834",0,"060374304002",383437
"835",0,"060374304003",540779
"836",0,"060374305011",1871928
"837",0,"060374305012",528428
"838",0,"060374305013",226810
"839",0,"060377031001",533936
"840",0,"060377031002",371669
"841",0,"060377031003",373998
"842",0,"060377031004",866198
"843",0,"060730141011",721987
"844",0,"060730141012",610148
"845",0,"060730141021",932382
"846",0,"060730141022",248628
"847",0,"060230105021",24391828
"848",0,"060374305014",2076901
"849",0,"060374305022",683430
"850",0,"060374305023",502490
"851",0,"060374305024",243400
"852",0,"060374305026",581345
"853",0,"060374306002",744839
"854",0,"060374306004",1649307
"855",0,"060650435073",1613740
"856",0,"060590218153",5493206
"857",0,"060590219242",646020
"858",0,"060590219243",3519967
"859",0,"060590320233",98233807
"860",0,"060590320593",344094
"861",0,"060650435081",1591932
"862",0,"060650409021",3729087
"863",0,"060590423106",302162
"864",0,"060590524201",27042177
"865",0,"060590525258",989928
"866",0,"060590626143",2952561
"867",0,"060590626435",2121748
"868",0,"060590636034",333608
"869",0,"060590320444",1393648
"870",0,"060590422015",729548
"871",0,"060590753033",461806
"872",0,"060590755154",7969395
"873",0,"060590869015",223686
"874",0,"060377018021",183128
"875",0,"060730144002",778743
"876",0,"060377018012",215180
"877",0,"060377018013",157886
"878",0,"060377018014",203980
"879",0,"060377018015",414533
"880",0,"060730099011",5637780
"881",0,"060377018023",174356
"882",0,"060377018024",626778
"883",0,"060730214001",2404842
"884",0,"060730219001",4511409
"885",0,"060730092014",167079
